epoch,train_loss,train_acc,val_loss,val_acc,val_auc,val_aupr,val_f1,val_sens,val_spec,val_bal_acc,val_prec,val_recall,val_mcc,val_brier
1,0.514397510494369,0.6593625498007968,0.44789812898635867,0.784,0.8768627450980393,0.943506445565989,0.8175675675675675,0.7333333333333333,0.8823529411764706,0.807843137254902,0.9236641221374046,0.7333333333333333,0.5839851160052857,0.14504767306440913
2,0.47018921232793437,0.6703187250996016,0.46471310687065126,0.792,0.8769340463458111,0.9440564385625353,0.821917808219178,0.7272727272727273,0.9176470588235294,0.8224598930481284,0.9448818897637795,0.7272727272727273,0.611086542992673,0.15257731586496093
3,0.4666290176342208,0.6782868525896414,0.40364624905586244,0.772,0.867736185383244,0.9411510520114954,0.8118811881188119,0.7454545454545455,0.8235294117647058,0.7844919786096256,0.8913043478260869,0.7454545454545455,0.5420045119328728,0.13538980134273265
4,0.4458677556172785,0.6992031872509961,0.41010706090927124,0.772,0.8744385026737967,0.9433673522922725,0.8106312292358804,0.7393939393939394,0.8352941176470589,0.7873440285204991,0.8970588235294118,0.7393939393939394,0.5465900567412315,0.13990107207489294
5,0.4011181218928075,0.7151394422310757,0.4486258444786072,0.788,0.8760784313725489,0.9440636677741637,0.8178694158075601,0.7212121212121212,0.9176470588235294,0.8194295900178252,0.9444444444444444,0.7212121212121212,0.6052857638623457,0.14980584288938886
6,0.4124366420198722,0.7231075697211156,0.3958530943393707,0.804,0.8681639928698751,0.9415795477488972,0.8338983050847457,0.7454545454545455,0.9176470588235294,0.8315508021390374,0.9461538461538461,0.7454545454545455,0.6287372835939984,0.13582067955343552
7,0.4311017743144852,0.7649402390438247,0.4321717336177826,0.784,0.8707308377896613,0.942613245473811,0.8137931034482758,0.7151515151515152,0.9176470588235294,0.8163992869875223,0.944,0.7151515151515152,0.5995244699074637,0.14739431483431323
8,0.4425674655522958,0.7280876494023905,0.42908242845535277,0.788,0.8750802139037434,0.9440750701574258,0.8178694158075601,0.7212121212121212,0.9176470588235294,0.8194295900178252,0.9444444444444444,0.7212121212121212,0.6052857638623457,0.1466796864911699
9,0.4288890319041522,0.7191235059760956,0.4054118103981018,0.796,0.8757932263814616,0.9447507955160055,0.8271186440677966,0.7393939393939394,0.9058823529411765,0.8226381461675579,0.9384615384615385,0.7393939393939394,0.6118357437124393,0.14038464308332776
10,0.4305115342140198,0.7460159362549801,0.5475332548618317,0.788,0.8797860962566846,0.9456134838669712,0.8166089965397924,0.7151515151515152,0.9294117647058824,0.8222816399286987,0.9516129032258065,0.7151515151515152,0.610690101039688,0.16771000475532125
11,0.43042217996490906,0.702191235059761,0.39707544827461244,0.796,0.8775044563279858,0.9454268207240925,0.8271186440677966,0.7393939393939394,0.9058823529411765,0.8226381461675579,0.9384615384615385,0.7393939393939394,0.6118357437124393,0.13825790300030227
12,0.43255804211969867,0.6982071713147411,0.4679413185119629,0.792,0.8838502673796792,0.94763510823028,0.8206896551724138,0.7212121212121212,0.9294117647058824,0.8253119429590018,0.952,0.7212121212121212,0.6164124831442936,0.15353558888898258
13,0.4423228314673283,0.7221115537848606,0.44388833856582643,0.792,0.8814973262032086,0.9467746226395521,0.821917808219178,0.7272727272727273,0.9176470588235294,0.8224598930481284,0.9448818897637795,0.7272727272727273,0.611086542992673,0.14877437477362224
14,0.44573441355589377,0.6962151394422311,0.3776018795967102,0.78,0.8775044563279858,0.9457101642585728,0.8264984227129337,0.793939393939394,0.7529411764705882,0.7734402852049911,0.8618421052631579,0.793939393939394,0.5306511346273506,0.1331946745986485
15,0.42043921636395243,0.7231075697211156,0.44223517036437987,0.8,0.8832798573975045,0.9475471447380779,0.8263888888888888,0.7212121212121212,0.9529411764705882,0.8370766488413547,0.967479674796748,0.7212121212121212,0.6387864305136233,0.14704798351665802
16,0.41161532800985995,0.7071713147410359,0.3934316704273224,0.792,0.8796434937611409,0.946361790235422,0.8231292517006803,0.7333333333333333,0.9058823529411765,0.8196078431372549,0.937984496124031,0.7333333333333333,0.6059144623365474,0.1375570745543878
17,0.4024340356013689,0.7290836653386454,0.48510091948509215,0.816,0.8854901960784313,0.9484113165963193,0.8380281690140845,0.7212121212121212,1.0,0.8606060606060606,1.0,0.7212121212121212,0.6840775273182935,0.15664615576616706
18,0.38781977839678883,0.7290836653386454,0.48684400916099546,0.792,0.8748663101604278,0.9445875960836818,0.8206896551724138,0.7212121212121212,0.9294117647058824,0.8253119429590018,0.952,0.7212121212121212,0.6164124831442936,0.15709267512871303
19,0.41441149279415845,0.7091633466135459,0.37157123613357546,0.788,0.8794295900178253,0.9465880709987776,0.8250825082508251,0.7575757575757576,0.8470588235294118,0.8023172905525846,0.9057971014492754,0.7575757575757576,0.5759646943848072,0.13015278978223876
20,0.408156558455699,0.7270916334661355,0.4344833772182465,0.788,0.8825668449197861,0.947759777238553,0.8178694158075601,0.7212121212121212,0.9176470588235294,0.8194295900178252,0.9444444444444444,0.7212121212121212,0.6052857638623457,0.14666183961546178
21,0.4352898042040517,0.7221115537848606,0.4741986861228943,0.808,0.8857040998217469,0.9485671313764079,0.8321678321678322,0.7212121212121212,0.9764705882352941,0.8488413547237077,0.9834710743801653,0.7212121212121212,0.661335528607152,0.15397148963781523
22,0.416436429992615,0.7360557768924303,0.3708909718990326,0.78,0.8801426024955437,0.947092291986751,0.8208469055374593,0.7636363636363637,0.8117647058823529,0.7877005347593583,0.8873239436619719,0.7636363636363637,0.5502576002603131,0.13039708411507306
23,0.4100196693997934,0.7320717131474104,0.46345823621749876,0.792,0.8858467023172906,0.9486730539002983,0.8206896551724138,0.7212121212121212,0.9294117647058824,0.8253119429590018,0.952,0.7212121212121212,0.6164124831442936,0.1518238823459635
24,0.4213956582593728,0.7111553784860558,0.42043221855163576,0.796,0.8891978609625668,0.9499740635324941,0.8247422680412371,0.7272727272727273,0.9294117647058824,0.8283422459893048,0.9523809523809523,0.7272727272727273,0.6221743175415406,0.1424247287360078
25,0.4204307863436847,0.7191235059760956,0.4466392917633057,0.812,0.8897682709447414,0.9502557487479759,0.8350877192982457,0.7212121212121212,0.9882352941176471,0.8547237076648841,0.9916666666666667,0.7212121212121212,0.672681287286052,0.1466724214197989
