epoch,train_loss,train_acc,val_loss,val_acc,val_auroc,val_aupr,val_f1,val_precision,val_recall,val_specificity,val_bal_acc,val_mcc,val_brier
1,1.1510035898884385,0.48816936488169366,0.6494283103942871,0.66,0.18215240641711228,0.4987956995199889,0.7951807228915663,0.66,1.0,0.0,0.5,,0.22834212021721734
2,0.7319132067346632,0.45703611457036114,0.6476549291610718,0.66,0.7833110516934046,0.8469313640600002,0.7951807228915663,0.66,1.0,0.0,0.5,,0.22749682921491293
3,0.6515084424915527,0.48692403486924035,0.6232256698608398,0.66,0.8432486631016043,0.9017513471146665,0.7951807228915663,0.66,1.0,0.0,0.5,,0.21600359746086295
4,0.6815138672238418,0.4520547945205479,0.6425472474098206,0.66,0.8599598930481284,0.9261453031381852,0.7951807228915663,0.66,1.0,0.0,0.5,,0.2249711739503551
5,0.641642380027961,0.44209215442092153,0.7187953186035156,0.66,0.6094028520499108,0.7298816715112248,0.7951807228915663,0.66,1.0,0.0,0.5,,0.2514028454573427
6,0.6569693358719423,0.45703611457036114,0.6210076904296875,0.66,0.8434714795008913,0.9008778700044964,0.7951807228915663,0.66,1.0,0.0,0.5,,0.21574151967028893
7,0.6322919194160928,0.46326276463262767,0.6062593603134155,0.66,0.8605169340463459,0.9229046549604497,0.7951807228915663,0.66,1.0,0.0,0.5,,0.20874482681141338
8,0.6439713185483759,0.5043586550435866,0.6261934232711792,0.66,0.8522727272727273,0.9039787365759282,0.7951807228915663,0.66,1.0,0.0,0.5,,0.2173664219446092
9,0.6357907364852402,0.45080946450809467,0.6074349975585938,0.66,0.863747771836007,0.9163385349656532,0.7951807228915663,0.66,1.0,0.0,0.5,,0.20921925016717935
10,0.608083231548592,0.4520547945205479,0.583163526058197,0.66,0.8626336898395721,0.9238407976108742,0.7951807228915663,0.66,1.0,0.0,0.5,,0.19867836764377828
11,0.606630280632456,0.44333748443337484,0.5895879340171813,0.66,0.8688725490196079,0.9258528326057764,0.7951807228915663,0.66,1.0,0.0,0.5,,0.20004046137096013
12,0.5948860880224078,0.5217932752179327,0.6391701984405518,0.66,0.8575089126559715,0.9167716137937261,0.7951807228915663,0.66,1.0,0.0,0.5,,0.2256592238607744
