variant,test_acc_mean,test_acc_std,test_auroc_mean,test_auroc_std,test_aupr_mean,test_aupr_std,test_f1_mean,test_f1_std,test_precision_mean,test_precision_std,test_recall_mean,test_recall_std,test_specificity_mean,test_specificity_std,test_bal_acc_mean,test_bal_acc_std,test_mcc_mean,test_mcc_std,test_brier_mean,test_brier_std,test_loss_mean,test_loss_std
Baseline (no aug),0.7840637450199204,0.07190103761540073,0.9032276250880902,0.00799500405446436,0.9536720702462741,0.004366723147862904,0.8446560400825873,0.029283163911259482,0.8312359817144085,0.10188356128795914,0.8739393939393938,0.07353091339686352,0.6116279069767442,0.3498628333552044,0.7427836504580692,0.1383759633750004,0.59933636856396,0.044749539067126365,0.15006653055773173,0.046301620935076344,0.4636564332650478,0.12163684486518
+WaveAug,0.6693227091633466,0.1905490684233963,0.8688794926004227,0.009383468468401598,0.9276165963048018,0.0078718050619761,0.6537526026970752,0.3659306985151118,0.6559435836853896,0.37972843450481836,0.6715151515151515,0.3895418891200881,0.6651162790697673,0.3915169980499359,0.6683157152924595,0.15427623241285343,0.5467514485534711,0.01962337204234191,0.2013920874531981,0.07475330840059007,0.5778381241270271,0.16622919834367567
+SpecAug,0.7872509960159363,0.021194320443458765,0.8847216349541931,0.005243763554010252,0.9397109827139781,0.002627041622420289,0.8475289021245171,0.006644331020802968,0.8070773033585429,0.050088646185116666,0.8981818181818182,0.05740005087297731,0.5744186046511628,0.16681082642259812,0.7363002114164905,0.055431163540995844,0.5162940894279537,0.05851645855053034,0.14298773940224285,0.008629777458757691,0.44160549965987644,0.01972999859352169
+Mixup,0.7848605577689243,0.07182373058693209,0.9027906976744186,0.008642197686815036,0.9522320512124585,0.006237768653327954,0.845903619858815,0.030692776830515127,0.8281697584105222,0.10288093614820852,0.8812121212121212,0.0813792942441776,0.6,0.3483135604567428,0.7406060606060606,0.13684624189494654,0.6017298303020381,0.03546603812416493,0.14401987736209104,0.029114233846188678,0.4500565687973661,0.07272069170758477
+Wave+Spec+Mix,0.5370517928286852,0.027802942346403056,0.8511486962649754,0.008986706889218024,0.9170595581353431,0.005346504633343943,0.4631888578321316,0.04850787245227128,0.9693350624530748,0.009793057385976814,0.3054545454545455,0.0436195253707796,0.9813953488372092,0.006368866947734501,0.6434249471458774,0.02063746655894082,0.33581149131882093,0.031022062710982005,0.25256098063085136,0.014100957417662754,0.703316199874498,0.040276449136635736
