fold,N,threshold_F1,Accuracy,F1,Precision,Recall(Sensitivity),Specificity,AUC,AP,TN,FP,FN,TP,TN%,FP%,FN%,TP%
fold_01,180,0.13,0.9833333333333333,0.9873417721518988,0.9831932773109243,0.9915254237288136,0.967741935483871,0.9968562055768179,0.9984497982413476,60,2,1,117,0.967741935483871,0.03225806451612903,0.00847457627118644,0.9915254237288136
fold_02,180,0.3999999999999999,0.9777777777777777,0.9827586206896551,1.0,0.9661016949152542,1.0,0.9917987971569163,0.9965579909435497,62,0,4,114,1.0,0.0,0.03389830508474576,0.9661016949152542
fold_03,180,0.24,0.9777777777777777,0.9827586206896551,1.0,0.9661016949152542,1.0,0.9963094587206123,0.9981882181738886,62,0,4,114,1.0,0.0,0.03389830508474576,0.9661016949152542
fold_04,180,0.105,0.9777777777777777,0.9831932773109243,0.975,0.9915254237288136,0.9516129032258065,0.9965828321487151,0.9982138391616839,59,3,1,117,0.9516129032258065,0.04838709677419355,0.00847457627118644,0.9915254237288136
fold_05,180,0.38999999999999996,0.9722222222222222,0.9787234042553191,0.9829059829059829,0.9745762711864406,0.967741935483871,0.9957627118644068,0.9979443453988368,60,2,3,115,0.967741935483871,0.03225806451612903,0.025423728813559324,0.9745762711864406
