epoch,train_loss,train_acc,val_loss,val_acc,val_auc,val_aupr,val_f1,val_sens,val_spec,val_bal_acc,val_prec,val_recall,val_mcc,val_brier
1,0.35299520581370875,0.7543655413271245,0.48509895635205647,0.8046511627906977,0.8701360935403488,0.9416929497650309,0.825,0.7021276595744681,1.0,0.851063829787234,1.0,0.7021276595744681,0.6692600572358242,0.15471582716521645
2,0.24885262864640761,0.7764842840512224,0.5715552360512489,0.8,0.8792409430707302,0.945129051115212,0.8200836820083682,0.6950354609929078,1.0,0.8475177304964538,1.0,0.6950354609929078,0.6630196662942588,0.17111197506009737
3,0.25424728347411396,0.7578579743888242,0.6004841309647228,0.8,0.8800076672417096,0.9461680255528022,0.8200836820083682,0.6950354609929078,1.0,0.8475177304964538,1.0,0.6950354609929078,0.6630196662942588,0.1758690210936586
4,0.27934596268622786,0.7380675203725262,0.47823176980018617,0.8046511627906977,0.8842246501820971,0.9486401380150291,0.825,0.7021276595744681,1.0,0.851063829787234,1.0,0.7021276595744681,0.6692600572358242,0.15547188529509623
5,0.25913274853693036,0.7729918509895227,0.5369948787744655,0.8046511627906977,0.8924669350201265,0.955089049790758,0.825,0.7021276595744681,1.0,0.851063829787234,1.0,0.7021276595744681,0.6692600572358242,0.16682615468963471
6,0.2427701298516066,0.7648428405122235,0.5165161252021789,0.8046511627906977,0.8967797584818861,0.9555581922306227,0.825,0.7021276595744681,1.0,0.851063829787234,1.0,0.7021276595744681,0.6692600572358242,0.15931911791633813
7,0.23919414790462143,0.7555296856810244,0.4867759661619053,0.8046511627906977,0.9030093923710945,0.9587552073076462,0.825,0.7021276595744681,1.0,0.851063829787234,1.0,0.7021276595744681,0.6692600572358242,0.1531701558210543
8,0.2407978762708804,0.7520372526193247,0.4160030518853387,0.8046511627906977,0.9028177113283496,0.9581839192103535,0.825,0.7021276595744681,1.0,0.851063829787234,1.0,0.7021276595744681,0.6692600572358242,0.13833319674231384
9,0.2582783746219764,0.7694994179278231,0.43049323669699735,0.8046511627906977,0.9043511596703087,0.9581252254945847,0.825,0.7021276595744681,1.0,0.851063829787234,1.0,0.7021276595744681,0.6692600572358242,0.14092363912042166
10,0.23995127850694623,0.7636786961583236,0.41180344875468766,0.827906976744186,0.9054054054054054,0.9587498185730772,0.8489795918367347,0.7375886524822695,1.0,0.8687943262411347,1.0,0.7375886524822695,0.7012316081877036,0.13294193496171158
11,0.2448590184812357,0.7555296856810244,0.420421515924986,0.827906976744186,0.9061721295763849,0.9586130194016276,0.8489795918367347,0.7375886524822695,1.0,0.8687943262411347,1.0,0.7375886524822695,0.7012316081877036,0.1377397451853143
12,0.2353972361202984,0.760186263096624,0.43954802044602326,0.8046511627906977,0.9071305347901093,0.9588962557521932,0.825,0.7021276595744681,1.0,0.851063829787234,1.0,0.7021276595744681,0.6692600572358242,0.14379534011218154
13,0.2470790771236242,0.7508731082654249,0.4597108786882356,0.827906976744186,0.9094307073030476,0.9593742637855938,0.8489795918367347,0.7375886524822695,1.0,0.8687943262411347,1.0,0.7375886524822695,0.7012316081877036,0.1431058043960747
14,0.25919442092164985,0.7322467986030268,0.4168864316718523,0.8325581395348837,0.907705577918344,0.9586901093127808,0.8536585365853658,0.7446808510638298,1.0,0.8723404255319149,1.0,0.7446808510638298,0.7077903065092052,0.1341114401462586
15,0.2590222369805759,0.7694994179278231,0.43815012421718863,0.827906976744186,0.9126892850297106,0.960955674286374,0.8489795918367347,0.7375886524822695,1.0,0.8687943262411347,1.0,0.7375886524822695,0.7012316081877036,0.13911064102631468
16,0.2207057975640258,0.7648428405122235,0.3944345659987871,0.8325581395348837,0.9144144144144144,0.96172952681266,0.8536585365853658,0.7446808510638298,1.0,0.8723404255319149,1.0,0.7446808510638298,0.7077903065092052,0.12922779508308258
17,0.23866507806517054,0.7497089639115251,0.44440092084019683,0.8325581395348837,0.9165229058846079,0.9626088512691762,0.8536585365853658,0.7446808510638298,1.0,0.8723404255319149,1.0,0.7446808510638298,0.7077903065092052,0.13898352617276963
18,0.22662498339646353,0.7566938300349243,0.37517641158991083,0.827906976744186,0.91345600920069,0.9620221857746512,0.8502024291497976,0.7446808510638298,0.9864864864864865,0.8655836687751581,0.9905660377358491,0.7446808510638298,0.6948259295469086,0.12444375020126996
