epoch,train_loss,train_acc,val_loss,val_acc,val_auc,val_aupr,val_f1,val_sens,val_spec,val_bal_acc
1,0.38948422980942904,0.7427937915742794,0.486138922153133,0.6732673267326733,0.8292361720807727,0.9300126381144072,0.7924528301886793,0.9402985074626866,0.14705882352941177,0.5436786654960492
2,0.30169376433556466,0.8226164079822617,1.1667113398561384,0.7029702970297029,0.8287971905179982,0.9296014327422457,0.7115384615384616,0.5522388059701493,1.0,0.7761194029850746
3,0.29451560399220417,0.8237250554323725,0.9657413888685774,0.693069306930693,0.8226514486391571,0.926951218653569,0.6990291262135923,0.5373134328358209,1.0,0.7686567164179104
4,0.3024880833874256,0.8237250554323725,1.2674554787059822,0.6336633663366337,0.8156277436347673,0.9242633890745712,0.6185567010309279,0.44776119402985076,1.0,0.7238805970149254
5,0.28140049485568197,0.8536585365853658,0.7316992542531231,0.7425742574257426,0.8459174714661983,0.9373632710309899,0.7592592592592593,0.6119402985074627,1.0,0.8059701492537313
6,0.26875488403895476,0.8458980044345898,0.4292342981489578,0.7029702970297029,0.8529411764705882,0.9402064353409395,0.7945205479452054,0.8656716417910447,0.38235294117647056,0.6240122914837576
7,0.2914333339541027,0.8348115299334812,0.4039354218114721,0.8316831683168316,0.8450395083406497,0.9364688519744703,0.859504132231405,0.7761194029850746,0.9411764705882353,0.858647936786655
8,0.323248079901524,0.8059866962305987,0.7179843812885851,0.7326732673267327,0.8538191395961369,0.9400358184660431,0.7476635514018691,0.5970149253731343,1.0,0.7985074626865671
9,0.30264633101000227,0.8303769401330376,0.4794348974039059,0.7722772277227723,0.874451273046532,0.9479041746134792,0.7927927927927928,0.6567164179104478,1.0,0.8283582089552239
10,0.29894574954610176,0.8414634146341463,0.4763753414154053,0.7920792079207921,0.839332748024583,0.9338458792816745,0.8173913043478261,0.7014925373134329,0.9705882352941176,0.8360403863037753
11,0.3140890545432689,0.8392461197339246,0.8692556678658665,0.693069306930693,0.8898156277436348,0.951647683092908,0.6990291262135923,0.5373134328358209,1.0,0.7686567164179104
12,0.29318960903092656,0.8547671840354767,0.37006512962945615,0.8316831683168316,0.8775241439859526,0.9486866771856397,0.8617886178861789,0.7910447761194029,0.9117647058823529,0.8514047410008779
13,0.2743074930956517,0.8381374722838137,0.6401902401801383,0.7326732673267327,0.8863037752414399,0.9520600821285954,0.7476635514018691,0.5970149253731343,1.0,0.7985074626865671
14,0.3109940346289104,0.8303769401330376,0.5775840612921385,0.7326732673267327,0.921422300263389,0.9659944799776945,0.7476635514018691,0.5970149253731343,1.0,0.7985074626865671
15,0.2900885426813113,0.8414634146341463,0.9676440068990877,0.7128712871287128,0.8625987708516243,0.94265049670255,0.7238095238095238,0.5671641791044776,1.0,0.7835820895522387
16,0.24211309361219935,0.8669623059866962,0.4283593409132249,0.7821782178217822,0.9170324846356454,0.964173143964403,0.8035714285714286,0.6716417910447762,1.0,0.835820895522388
17,0.282651186617145,0.8503325942350333,0.733660348571173,0.7425742574257426,0.8972783143107991,0.9552186608423632,0.7592592592592593,0.6119402985074627,1.0,0.8059701492537313
