fold,loss,accuracy,balanced_accuracy,f1,sensitivity,specificity,auc_roc,aupr
1,0.28567739482969046,0.8884462151394422,0.9012332628611699,0.9102564102564102,0.8606060606060606,0.9418604651162791,0.949753347427766,0.9780823746158023
2,0.22342284861952066,0.9243027888446215,0.9424242424242424,0.9389067524115756,0.8848484848484849,1.0,0.9732205778717407,0.98894743079436
3,0.5320409350097179,0.8087649402390438,0.8489781536293164,0.8321678321678322,0.7212121212121212,0.9767441860465116,0.9339675828047921,0.9685426847099788
4,0.4539283327758312,0.8406374501992032,0.8795180722891567,0.863013698630137,0.7590361445783133,1.0,0.9525868178596739,0.9794114587364053
5,0.30243663117289543,0.888,0.9094474153297682,0.9084967320261438,0.8424242424242424,0.9764705882352941,0.9605704099821747,0.982193839179377
