epoch,train_loss,train_acc,val_loss,val_acc,val_auroc,val_aupr,val_f1,val_precision,val_recall,val_specificity,val_bal_acc,val_mcc,val_brier
1,0.8922798342241016,0.5897755610972568,0.6887218133727117,0.5572139303482587,0.8691260430390866,0.922550192086207,0.5027932960893855,0.9574468085106383,0.3409090909090909,0.9710144927536232,0.655961791831357,0.3499052295776574,0.24778823494793809
2,0.6881224484812292,0.6122194513715711,0.6496182629718116,0.6567164179104478,0.26888449714536666,0.5761362930866623,0.7927927927927928,0.6567164179104478,1.0,0.0,0.5,,0.2284120719357392
3,0.6502702506700359,0.6620947630922693,0.6567468159827426,0.6567164179104478,0.24110671936758893,0.5614829251840494,0.7927927927927928,0.6567164179104478,1.0,0.0,0.5,,0.2312420234129392
4,0.6664751668523374,0.6458852867830424,0.6481229470143863,0.6567164179104478,0.28458498023715406,0.5977829881811474,0.7927927927927928,0.6567164179104478,1.0,0.0,0.5,,0.2277197762114479
5,0.6370970172775059,0.6596009975062345,0.6450303342211899,0.6567164179104478,0.8491436100131752,0.8901643118268341,0.7927927927927928,0.6567164179104478,1.0,0.0,0.5,,0.22619418402585015
6,0.6442418196552114,0.6608478802992519,0.6375840804470119,0.6567164179104478,0.7953447518664911,0.8577384818968006,0.7927927927927928,0.6567164179104478,1.0,0.0,0.5,,0.22276690142689426
7,0.6327162358231675,0.6683291770573566,0.6276199203818592,0.6567164179104478,0.8395915678524375,0.8883286118686626,0.7927927927927928,0.6567164179104478,1.0,0.0,0.5,,0.21796620771917946
8,0.6011177001154037,0.6596009975062345,0.5930620691372981,0.6567164179104478,0.8605621431708388,0.9101914966871367,0.7927927927927928,0.6567164179104478,1.0,0.0,0.5,,0.20222021382647465
9,0.5795445691914927,0.6733167082294265,0.5990293509331509,0.7562189054726368,0.8616600790513835,0.9148191808657702,0.835016835016835,0.7515151515151515,0.9393939393939394,0.4057971014492754,0.6725955204216074,0.4274426010279981,0.20388026382411314
10,0.5893194636055954,0.7107231920199502,0.5649721136140586,0.6567164179104478,0.840689503732982,0.8994530252535633,0.7927927927927928,0.6567164179104478,1.0,0.0,0.5,,0.19223608706448622
11,0.5594985378056095,0.6945137157107232,0.5226362912512538,0.6965174129353234,0.8675889328063242,0.9180330763239187,0.8099688473520249,0.6878306878306878,0.9848484848484849,0.14492753623188406,0.5648880105401844,0.2600665164855173,0.17447207086278124
12,0.5515417517569297,0.7331670822942643,0.5882101647592896,0.6567164179104478,0.8551822573561704,0.9073585808570047,0.7927927927927928,0.6567164179104478,1.0,0.0,0.5,,0.20657365184908666
13,0.6217401412657074,0.6895261845386533,0.5902317388733821,0.7412935323383084,0.8108256477821696,0.8790567756614955,0.8266666666666667,0.7380952380952381,0.9393939393939394,0.36231884057971014,0.6508563899868248,0.38671730509016905,0.20060934932034924
14,0.5739520407674319,0.7119700748129676,0.572768325088036,0.746268656716418,0.8280632411067195,0.8887105480975312,0.8294314381270903,0.7425149700598802,0.9393939393939394,0.37681159420289856,0.658102766798419,0.40048225964284506,0.1926308399258238
15,0.5662929383002018,0.7443890274314214,0.5272782860110649,0.7014925373134329,0.849802371541502,0.9063708353976756,0.8089171974522293,0.6978021978021978,0.9621212121212122,0.2028985507246377,0.5825098814229249,0.26781504777391557,0.17553424992700664
16,0.5212443854446126,0.7468827930174564,0.5117597686710642,0.7562189054726368,0.8596837944664033,0.9134091175839377,0.8327645051194539,0.7577639751552795,0.9242424242424242,0.43478260869565216,0.6795125164690382,0.4269660149296345,0.16663611142028206
17,0.5297302658718424,0.7331670822942643,0.524116541615766,0.7860696517412935,0.8509003074220466,0.9081665976478752,0.8469750889679716,0.7986577181208053,0.9015151515151515,0.5652173913043478,0.7333662714097496,0.5060399311477974,0.17107252325476344
18,0.507786563507042,0.7456359102244389,0.5516760673985552,0.7960199004975125,0.857927097057532,0.9139666152701309,0.8284518828451883,0.9252336448598131,0.75,0.8840579710144928,0.8170289855072463,0.6033713184786678,0.18295910958189646
19,0.5168747286546854,0.7406483790523691,0.5270103678774478,0.8159203980099502,0.8645147123407992,0.9192896367964536,0.8502024291497976,0.9130434782608695,0.7954545454545454,0.855072463768116,0.8252635046113307,0.6242789595826373,0.17194543941209964
20,0.5967137557907295,0.669576059850374,0.5420638969288537,0.7164179104477612,0.8290513833992095,0.8889735685757174,0.8131147540983606,0.7167630057803468,0.9393939393939394,0.2898550724637681,0.6146245059288538,0.31435249822082545,0.18050985276714185
21,0.5248456292616162,0.7331670822942643,0.5270826057415103,0.7860696517412935,0.8439833113746159,0.9030140539934186,0.8447653429602888,0.8068965517241379,0.8863636363636364,0.5942028985507246,0.7402832674571804,0.5089639485282796,0.17257236027854383
22,0.579244676968106,0.6882793017456359,0.5530602097214751,0.746268656716418,0.8265261308739569,0.8882713911842981,0.825938566552901,0.7515527950310559,0.9166666666666666,0.42028985507246375,0.6684782608695652,0.4007213149293725,0.18414635198148066
23,0.5058609399563654,0.7718204488778054,0.4848390292765489,0.7512437810945274,0.8669301712779973,0.9179932159536324,0.8344370860927153,0.7411764705882353,0.9545454545454546,0.36231884057971014,0.6584321475625824,0.416561864152573,0.158069385210027
24,0.4918178541404648,0.7768079800498753,0.4457033236524952,0.7661691542288557,0.8787878787878788,0.9286340959410097,0.8362369337979094,0.7741935483870968,0.9090909090909091,0.4927536231884058,0.7009222661396575,0.4541766571771222,0.14144619779423023
