epoch,train_loss,train_acc,val_loss,val_acc,val_auroc,val_aupr,val_f1,val_precision,val_recall,val_specificity,val_bal_acc,val_mcc,val_brier
1,2.015131771378915,0.539227895392279,0.8302791595458985,0.66,0.13848039215686272,0.47655290326344474,0.7951807228915663,0.66,1.0,0.0,0.5,,0.2783806439992937
2,0.8567976176664511,0.572851805728518,0.6548908042907715,0.66,0.1448306595365419,0.47816966536215944,0.7951807228915663,0.66,1.0,0.0,0.5,,0.23073668566222488
3,0.6804672889365058,0.635118306351183,0.6555229806900025,0.66,0.8342803030303031,0.9052651444062634,0.7951807228915663,0.66,1.0,0.0,0.5,,0.23130659553829083
4,0.6668826245133339,0.6525529265255293,0.6455979299545288,0.66,0.8733288770053474,0.938355958997605,0.7951807228915663,0.66,1.0,0.0,0.5,,0.2264733413360006
5,0.6539423995712774,0.6488169364881694,0.6386219692230225,0.66,0.8588458110516934,0.9244411588212391,0.7951807228915663,0.66,1.0,0.0,0.5,,0.22319759398892317
6,0.6535447075833122,0.6537982565379825,0.6327370309829712,0.66,0.8562834224598931,0.9216862799797172,0.7951807228915663,0.66,1.0,0.0,0.5,,0.22050753856124325
7,0.6613784586062021,0.660024906600249,0.6423082923889161,0.66,0.741198752228164,0.8250612695753741,0.7951807228915663,0.66,1.0,0.0,0.5,,0.22495650610711845
8,0.6406384933633199,0.6625155666251556,0.6227748680114746,0.66,0.8207442067736185,0.8779929208937829,0.7951807228915663,0.66,1.0,0.0,0.5,,0.21666112130427617
9,0.6106057214558792,0.6575342465753424,0.5872144126892089,0.66,0.8682040998217468,0.9270012581150551,0.7951807228915663,0.66,1.0,0.0,0.5,,0.20034897776433147
10,0.5909281895214119,0.6712328767123288,0.6064605712890625,0.66,0.8607397504456328,0.9173978500815689,0.7951807228915663,0.66,1.0,0.0,0.5,,0.21168544660889396
11,0.5968364695386305,0.684931506849315,0.5808441543579101,0.715,0.8538324420677362,0.9092178213676634,0.822429906542056,0.6984126984126984,1.0,0.16176470588235295,0.5808823529411765,0.3361227822436775,0.19585099547520748
12,0.562545360767678,0.709838107098381,0.5578732776641846,0.66,0.8604055258467023,0.9213782342210995,0.7951807228915663,0.66,1.0,0.0,0.5,,0.19203293849039213
13,0.5372537726334587,0.7222914072229141,0.5389258432388305,0.675,0.865307486631016,0.9248052739958303,0.8024316109422492,0.6700507614213198,1.0,0.04411764705882353,0.5220588235294118,0.17193330975666626,0.18303335424200665
14,0.5810282888032431,0.6998754669987547,0.5738801336288453,0.765,0.8717691622103386,0.9229722693319238,0.8362369337979094,0.7741935483870968,0.9090909090909091,0.4852941176470588,0.6971925133689839,0.4473935659098701,0.19180275624954646
15,0.5548945854268365,0.7135740971357409,0.5576063179969788,0.66,0.8615196078431373,0.9152452409408749,0.7951807228915663,0.66,1.0,0.0,0.5,,0.19146962673758836
16,0.541703225109972,0.7185554171855542,0.5120645618438721,0.74,0.8656417112299465,0.9197565088918467,0.8354430379746836,0.717391304347826,1.0,0.23529411764705882,0.6176470588235294,0.410850281689321,0.168272302578713
17,0.5195718596168651,0.7459526774595268,0.49215696811676024,0.76,0.8711007130124777,0.9248890407470873,0.8421052631578947,0.7441860465116279,0.9696969696969697,0.35294117647058826,0.661319073083779,0.440467527420641,0.15813610464012703
18,0.5281910430895139,0.7521793275217933,0.5123333072662354,0.77,0.866421568627451,0.9180615157188148,0.8424657534246576,0.76875,0.9318181818181818,0.45588235294117646,0.6938502673796791,0.4591428598763146,0.16533206722801808
19,0.4941322812404609,0.7596513075965131,0.5764372444152832,0.765,0.8641934046345812,0.9196389221030332,0.7965367965367965,0.9292929292929293,0.696969696969697,0.8970588235294118,0.7970142602495545,0.5628211828800642,0.19469658535903317
20,0.49213250176250417,0.7646326276463262,0.46678000926971436,0.795,0.8773395721925134,0.9326100223473989,0.856140350877193,0.7973856209150327,0.9242424242424242,0.5441176470588235,0.7341800356506238,0.5232709692559764,0.14785325801001636
21,0.4776815059473031,0.7745952677459527,0.4664143395423889,0.775,0.8725490196078431,0.9280715934525359,0.8442906574394463,0.7770700636942676,0.9242424242424242,0.4852941176470588,0.7047682709447415,0.4722261433231143,0.14861756085005332
22,0.5279930437338605,0.7658779576587795,0.4900148701667786,0.76,0.8646390374331551,0.9185442824591703,0.8344827586206897,0.7658227848101266,0.9166666666666666,0.45588235294117646,0.6862745098039216,0.43328300843226736,0.1572833223094959
23,0.4962351251657992,0.7795765877957659,0.4935141086578369,0.74,0.8648618538324421,0.9197389082690183,0.8354430379746836,0.717391304347826,1.0,0.23529411764705882,0.6176470588235294,0.410850281689321,0.1662553311843433
24,0.4862488896062929,0.7646326276463262,0.5403579425811768,0.715,0.8702094474153297,0.9244379202520319,0.822429906542056,0.6984126984126984,1.0,0.16176470588235295,0.5808823529411765,0.3361227822436775,0.18691670003041921
25,0.4587018000678731,0.7870485678704857,0.43943382263183595,0.785,0.8721033868092691,0.9287311683152129,0.8458781362007168,0.8027210884353742,0.8939393939393939,0.5735294117647058,0.7337344028520498,0.5017616391169558,0.13937931026927003
26,0.49609420074620847,0.7745952677459527,0.46437740087509155,0.775,0.8663101604278075,0.9207259581138626,0.8387096774193549,0.7959183673469388,0.8863636363636364,0.5588235294117647,0.7225935828877006,0.47784545040785403,0.14722735977267704
27,0.47263026823884674,0.775840597758406,0.44457741737365725,0.795,0.8719919786096257,0.9263998484157611,0.8530465949820788,0.8095238095238095,0.9015151515151515,0.5882352941176471,0.7448752228163993,0.5256778278260577,0.14070640624162048
