epoch,train_loss,train_acc,val_loss,val_acc,val_auc,val_aupr,val_f1,val_sens,val_spec,val_bal_acc
1,0.370239861695415,0.7121513944223108,0.7286034774780273,0.636,0.8622572396157302,0.9329033177644548,0.7775061124694377,1.0,0.0,0.5
2,0.32275713463703476,0.8227091633466136,0.3519796657562256,0.848,0.8993019559057296,0.9543932035343308,0.8671328671328671,0.779874213836478,0.967032967032967,0.8734535904347225
3,0.3079123188299962,0.8197211155378487,0.3451499328613281,0.86,0.9065588499550763,0.9577612407325806,0.8788927335640139,0.7987421383647799,0.967032967032967,0.8828875526988735
4,0.28021058012764766,0.850597609561753,0.40275408554077147,0.836,0.9078028889349645,0.9578577763948093,0.8530465949820788,0.7484276729559748,0.989010989010989,0.868719330983482
5,0.2752820172632833,0.8316733067729084,0.8481451568603515,0.724,0.9100145137880987,0.9585731313963854,0.7228915662650602,0.5660377358490566,1.0,0.7830188679245282
6,0.3022045742468055,0.8386454183266933,0.6549931106567383,0.764,0.9115350058746285,0.9591255207723833,0.7722007722007722,0.6289308176100629,1.0,0.8144654088050314
7,0.27736311414802217,0.8376494023904383,0.3239248199462891,0.856,0.9153362360909533,0.9610130937520494,0.8775510204081632,0.8113207547169812,0.9340659340659341,0.8726933443914576
8,0.2518551450564092,0.8466135458167331,0.40137462615966796,0.836,0.9257032275900201,0.9658849057054189,0.851985559566787,0.7421383647798742,1.0,0.871069182389937
9,0.27730289600284924,0.851593625498008,0.3554686965942383,0.824,0.9141613103877254,0.9594254172962904,0.8658536585365854,0.8930817610062893,0.7032967032967034,0.7981892321514963
10,0.2705689907311443,0.849601593625498,0.3247085494995117,0.864,0.9250120948234156,0.96509377898704,0.8874172185430463,0.8427672955974843,0.9010989010989011,0.8719330983481928
11,0.2436655738439218,0.8715139442231076,0.33420630264282225,0.868,0.9241827355034902,0.9649522762085735,0.8850174216027874,0.7987421383647799,0.989010989010989,0.8938765636878845
12,0.25402545905208207,0.849601593625498,0.6016548500061035,0.776,0.9283295321031171,0.9669371246209071,0.7862595419847328,0.6477987421383647,1.0,0.8238993710691824
13,0.2743967891451847,0.8456175298804781,0.3231163291931152,0.86,0.9309558366162141,0.9681989840902117,0.8771929824561403,0.7861635220125787,0.989010989010989,0.8875872555117839
14,0.27161911450534226,0.8476095617529881,0.3052703552246094,0.844,0.9279148524431544,0.9664256818527432,0.8761904761904762,0.8679245283018868,0.8021978021978022,0.8350611652498445
15,0.2814710330203235,0.8256972111553785,0.3152971477508545,0.844,0.9263943603566245,0.9653991156513011,0.8745980707395499,0.8553459119496856,0.8241758241758241,0.8397608680627549
16,0.259237281354775,0.8615537848605578,0.2960887393951416,0.872,0.9290897781463819,0.9670291859061024,0.8933333333333333,0.8427672955974843,0.9230769230769231,0.8829221093372037
17,0.25346370688472614,0.8615537848605578,0.3506525650024414,0.868,0.9368995784090124,0.970915416455802,0.8842105263157894,0.7924528301886793,1.0,0.8962264150943396
18,0.2548920283042102,0.8545816733067729,0.6056851234436035,0.772,0.9368995784090124,0.9706511129998903,0.7816091954022989,0.6415094339622641,1.0,0.820754716981132
19,0.2513086583272394,0.8764940239043825,0.39566200447082517,0.848,0.9369686916856729,0.9708566583262381,0.8642857142857143,0.7610062893081762,1.0,0.8805031446540881
20,0.26959955799152174,0.8575697211155379,0.5088560066223144,0.808,0.9351717464925013,0.9705349221260567,0.8222222222222222,0.6981132075471698,1.0,0.8490566037735849
21,0.2576336681367867,0.8695219123505976,0.3786902313232422,0.864,0.9380745041122399,0.9717112261428331,0.8811188811188811,0.7924528301886793,0.989010989010989,0.8907319095998342
22,0.264102396084018,0.8426294820717132,0.4369680461883545,0.848,0.934826180109199,0.9699512611018121,0.8642857142857143,0.7610062893081762,1.0,0.8805031446540881
23,0.2608397850002426,0.8585657370517928,0.3886526165008545,0.836,0.9400096758587325,0.9723448177786755,0.851985559566787,0.7421383647798742,1.0,0.871069182389937
24,0.23692953990275167,0.8784860557768924,0.41026207160949707,0.844,0.9397332227520906,0.9721406197111397,0.8602150537634409,0.7547169811320755,1.0,0.8773584905660378
25,0.2735316292698165,0.848605577689243,0.28645402717590335,0.88,0.9371760315156541,0.970897728558955,0.9,0.8490566037735849,0.9340659340659341,0.8915612689197595
26,0.28618896767437696,0.8466135458167331,0.4010345287322998,0.868,0.9396641094754303,0.972181331352878,0.8842105263157894,0.7924528301886793,1.0,0.8962264150943396
27,0.27953328601867555,0.8605577689243028,0.31424115753173826,0.864,0.9373833713456355,0.9708171084161091,0.8851351351351351,0.8238993710691824,0.9340659340659341,0.8789826525675583
28,0.25312429696202754,0.8545816733067729,0.8322226867675782,0.716,0.941806621051904,0.9731359494989782,0.7125506072874493,0.5534591194968553,1.0,0.7767295597484276
29,0.270620988422181,0.8625498007968128,0.2998417549133301,0.876,0.9368995784090123,0.9703917905206884,0.9015873015873016,0.8930817610062893,0.8461538461538461,0.8696178035800677
30,0.2639268972721708,0.8625498007968128,0.37917098617553713,0.848,0.9449858317782847,0.9747518578017016,0.8642857142857143,0.7610062893081762,1.0,0.8805031446540881
31,0.25443187688451363,0.8555776892430279,0.306668643951416,0.884,0.9440182459050384,0.9744139077894755,0.9003436426116839,0.8238993710691824,0.989010989010989,0.9064551800400857
32,0.27013661317616344,0.8406374501992032,0.3261085014343262,0.88,0.944432925565001,0.9743866302739501,0.896551724137931,0.8176100628930818,0.989010989010989,0.9033105259520354
33,0.25516843653295146,0.8615537848605578,0.3365938777923584,0.876,0.9489944018245905,0.9765260818538877,0.89198606271777,0.8050314465408805,1.0,0.9025157232704403
34,0.26342175414125285,0.8565737051792829,0.43402566528320313,0.82,0.9455387379915681,0.9751325074224327,0.8351648351648352,0.7169811320754716,1.0,0.8584905660377358
35,0.2218978165155388,0.8864541832669323,0.3544486560821533,0.872,0.9466445504181354,0.9754225586041294,0.8888888888888888,0.8050314465408805,0.989010989010989,0.8970212177759348
36,0.22826882092601275,0.8764940239043825,0.38270580101013185,0.78,0.9310940631695349,0.9681394594622532,0.8450704225352113,0.9433962264150944,0.4945054945054945,0.7189508604602944
37,0.2515996625698895,0.8605577689243028,0.3021204242706299,0.888,0.9432579998617735,0.973989160147632,0.9047619047619048,0.8364779874213837,0.978021978021978,0.9072499827216809
38,0.23932155361213533,0.8655378486055777,0.2947697467803955,0.876,0.9399405625820721,0.9714251746193283,0.9003215434083601,0.8805031446540881,0.8681318681318682,0.8743175063929781
39,0.2357301969096005,0.8735059760956175,0.32857751083374026,0.884,0.9469901168014375,0.9756097760573812,0.8996539792387543,0.8176100628930818,1.0,0.9088050314465409
40,0.24288939675724364,0.8735059760956175,0.35023466873168946,0.892,0.947681249568042,0.9756564482227498,0.9072164948453608,0.8301886792452831,1.0,0.9150943396226415
41,0.23065987359955017,0.8745019920318725,0.33919820404052736,0.848,0.9530720851475568,0.9788204830860576,0.8642857142857143,0.7610062893081762,1.0,0.8805031446540881
42,0.24890714248575538,0.8585657370517928,0.38068082427978517,0.864,0.9468518902481167,0.9757185909707741,0.8802816901408451,0.7861635220125787,1.0,0.8930817610062893
43,0.23435778786758502,0.8924302788844621,0.27985147857666015,0.9,0.9492017416545718,0.9767552807437156,0.9163879598662207,0.8616352201257862,0.967032967032967,0.9143340935793767
44,0.2560310988312223,0.8774900398406374,0.6854811744689941,0.764,0.9493399682078927,0.9764221551478017,0.7722007722007722,0.6289308176100629,1.0,0.8144654088050314
45,0.22925175067438072,0.8844621513944223,0.2696825542449951,0.908,0.9506531204644413,0.9771246696646498,0.9245901639344263,0.8867924528301887,0.945054945054945,0.9159236989425669
46,0.23538792608268708,0.8645418326693227,0.30706975746154785,0.88,0.9514133665077061,0.9779918318891031,0.8958333333333334,0.8113207547169812,1.0,0.9056603773584906
47,0.21793898459212238,0.8934262948207171,0.39403037643432615,0.872,0.9487870619946093,0.9762385350334905,0.8881118881118881,0.7987421383647799,1.0,0.89937106918239
48,0.2359764166324737,0.8725099601593626,0.26294536209106445,0.9,0.9489944018245905,0.9764453900912637,0.9180327868852459,0.8805031446540881,0.9340659340659341,0.9072845393600111
49,0.23929524896629303,0.8695219123505976,0.2555110683441162,0.908,0.9521044992743105,0.9781147729408428,0.9245901639344263,0.8867924528301887,0.945054945054945,0.9159236989425669
50,0.22554949389035958,0.8645418326693227,0.4267572078704834,0.86,0.9530029718708963,0.9783820811244088,0.8763250883392226,0.779874213836478,1.0,0.889937106918239
51,0.23018234469501145,0.8774900398406374,0.28177609062194825,0.896,0.9498928744211764,0.9760125512357649,0.9171974522292994,0.9056603773584906,0.8791208791208791,0.8923906282396848
52,0.23062600523411514,0.8774900398406374,0.319737024307251,0.892,0.9536249913608403,0.9789104786577177,0.9072164948453608,0.8301886792452831,1.0,0.9150943396226415
53,0.21892418157294452,0.8954183266932271,0.27565468597412107,0.896,0.9517589328910083,0.9775837568515011,0.9133333333333333,0.8616352201257862,0.9560439560439561,0.9088395880848712
54,0.22541079762209934,0.8824701195219123,0.2642087917327881,0.896,0.9477503628447025,0.9760436828297847,0.9144736842105263,0.8742138364779874,0.9340659340659341,0.9041398852719608
55,0.24019747550981455,0.8854581673306773,0.435659122467041,0.844,0.9542470108507844,0.9790369088540432,0.8602150537634409,0.7547169811320755,1.0,0.8773584905660378
56,0.21422485348237938,0.8754980079681275,0.29639357376098635,0.896,0.9576335614071464,0.9805142924433679,0.910958904109589,0.8364779874213837,1.0,0.9182389937106918
57,0.25999171717233394,0.8705179282868526,0.3736990280151367,0.772,0.9517589328910084,0.9775577849559008,0.8438356164383561,0.9685534591194969,0.42857142857142855,0.6985624438454627
58,0.20954825757331108,0.9083665338645418,0.4248730354309082,0.84,0.9572879950238441,0.9801708465190381,0.8561151079136691,0.7484276729559748,1.0,0.8742138364779874
59,0.18913825770535792,0.899402390438247,0.25343219757080077,0.908,0.9562512958739373,0.9795769995571647,0.9240924092409241,0.8805031446540881,0.9560439560439561,0.918273550349022
60,0.24693691291182165,0.8725099601593626,0.36151647186279295,0.88,0.9495473080378741,0.9754187128300702,0.8979591836734694,0.8301886792452831,0.967032967032967,0.898610823139125
61,0.24543551014239096,0.8904382470119522,0.2590158958435059,0.888,0.9536941046375008,0.978856202456234,0.9125,0.9182389937106918,0.8351648351648352,0.8767019144377635
62,0.21021993936176794,0.9113545816733067,0.500382209777832,0.82,0.9561821825972769,0.9799379542175133,0.8351648351648352,0.7169811320754716,1.0,0.8584905660377358
63,0.21212430316138553,0.8774900398406374,0.25337404251098633,0.908,0.9527956320409151,0.9782210324359384,0.9235880398671097,0.8742138364779874,0.967032967032967,0.9206234017554773
64,0.22771533540045596,0.8824701195219123,0.2482662830352783,0.896,0.9550072568940493,0.9790973736155403,0.9171974522292994,0.9056603773584906,0.8791208791208791,0.8923906282396848
65,0.2091645087853846,0.897410358565737,0.26735607147216794,0.9,0.9518971594443293,0.9779622883638872,0.9163879598662207,0.8616352201257862,0.967032967032967,0.9143340935793767
66,0.22413621896291633,0.897410358565737,0.2622606391906738,0.904,0.9547308037874076,0.9790535877793742,0.92,0.8679245283018868,0.967032967032967,0.9174787476674269
67,0.2553479827020273,0.8725099601593626,0.26206413078308105,0.888,0.9476812495680421,0.9758547420201724,0.9096774193548387,0.8867924528301887,0.8901098901098901,0.8884511714700394
68,0.20370601378826506,0.9123505976095617,0.41876097869873047,0.868,0.9572879950238441,0.9801716089821962,0.8842105263157894,0.7924528301886793,1.0,0.8962264150943396
69,0.22266421090084243,0.896414342629482,0.3669602165222168,0.888,0.9567350888105605,0.9800306191131288,0.903448275862069,0.8238993710691824,1.0,0.9119496855345912
70,0.20149961057530932,0.9043824701195219,0.2889223117828369,0.904,0.9553528232773517,0.9796970669842675,0.918918918918919,0.8553459119496856,0.989010989010989,0.9221784504803373
71,0.20480787528463568,0.9023904382470119,0.3892578887939453,0.828,0.9265325869099454,0.9623659435872884,0.8708708708708709,0.9119496855345912,0.6813186813186813,0.7966341834266363
72,0.19946993943823285,0.8894422310756972,0.45145994567871095,0.768,0.9481650425046652,0.9745033116022925,0.842391304347826,0.9748427672955975,0.4065934065934066,0.690718086944502
73,0.22579518530473291,0.8675298804780877,0.3083102378845215,0.864,0.9409772617319787,0.9698140208962115,0.89375,0.89937106918239,0.8021978021978022,0.8507844356900961
74,0.1926151253134606,0.9133466135458167,0.24618934440612794,0.904,0.9545234639574262,0.9792327084051067,0.9235668789808917,0.9119496855345912,0.8901098901098901,0.9010297878222406
75,0.1888843854347548,0.8944223107569721,0.25547352886199953,0.912,0.9604672057502246,0.9814019163128124,0.9276315789473685,0.8867924528301887,0.9560439560439561,0.9214182044370725
76,0.24816902225236018,0.8834661354581673,0.2979791145324707,0.9,0.9546616905107471,0.9793991712122501,0.9146757679180887,0.8427672955974843,1.0,0.9213836477987422
77,0.23815610090574896,0.8774900398406374,0.3700833320617676,0.88,0.9549381436173889,0.9793115162361943,0.8958333333333334,0.8113207547169812,1.0,0.9056603773584906
78,0.22070172286603557,0.8944223107569721,0.29948910713195803,0.908,0.9577717879604671,0.9804726040529113,0.9220338983050848,0.8553459119496856,1.0,0.9276729559748428
79,0.18720278488212372,0.9233067729083665,0.2839614715576172,0.9,0.954799917064068,0.9786437984974281,0.9174917491749175,0.8742138364779874,0.945054945054945,0.9096343907664662
80,0.23294695879358696,0.8745019920318725,0.2860576133728027,0.904,0.9585320340037321,0.9808660484713527,0.918918918918919,0.8553459119496856,0.989010989010989,0.9221784504803373
81,0.1994305629713602,0.901394422310757,0.27413741302490235,0.892,0.9570806551938629,0.9800192918188045,0.9096989966555183,0.8553459119496856,0.9560439560439561,0.9056949339968208
82,0.22930304367703747,0.8944223107569721,0.5553491172790528,0.792,0.9507913470177621,0.9771184868982115,0.8045112781954887,0.6729559748427673,1.0,0.8364779874213837
83,0.22700788941516345,0.8884462151394422,0.27131134605407714,0.892,0.9518971594443293,0.9776003005293626,0.9102990033222591,0.8616352201257862,0.945054945054945,0.9033450825903656
84,0.22134557841308564,0.9043824701195219,0.2363685665130615,0.904,0.9600525260902619,0.9812817351788446,0.9240506329113924,0.9182389937106918,0.8791208791208791,0.8986799364157855
85,0.1920211161987715,0.9233067729083665,0.3280647964477539,0.904,0.959430506600318,0.9813908559203359,0.9183673469387755,0.8490566037735849,1.0,0.9245283018867925
86,0.2383407437468905,0.8864541832669323,0.2624095592498779,0.888,0.9502384408044785,0.9770872302280375,0.9119496855345912,0.9119496855345912,0.8461538461538461,0.8790517658442187
87,0.21184612590953172,0.9103585657370518,0.25017844009399415,0.912,0.9568733153638814,0.9801504344764969,0.9276315789473685,0.8867924528301887,0.9560439560439561,0.9214182044370725
88,0.22356128585766036,0.8944223107569721,0.4039216136932373,0.86,0.9581864676204298,0.9808851752434925,0.8763250883392226,0.779874213836478,1.0,0.889937106918239
89,0.19749270397353458,0.9203187250996016,0.2535766849517822,0.904,0.9533485382541987,0.9783993412092131,0.9215686274509803,0.8867924528301887,0.9340659340659341,0.9104291934480614
90,0.19677060296336019,0.9193227091633466,0.2687052268981934,0.908,0.958324694173751,0.9808051505137763,0.9225589225589226,0.8616352201257862,0.989010989010989,0.9253231045683876
91,0.2066180232274105,0.9073705179282868,0.23922474861145018,0.916,0.9596378464302994,0.981334754840728,0.9311475409836065,0.8930817610062893,0.9560439560439561,0.9245628585251227
92,0.2053560841962161,0.9063745019920318,0.43911863708496096,0.868,0.9598451862602807,0.9814251500180255,0.8842105263157894,0.7924528301886793,1.0,0.8962264150943396
93,0.1981819315973031,0.8884462151394422,0.2333906364440918,0.912,0.9589467136636948,0.9810254434249799,0.9276315789473685,0.8867924528301887,0.9560439560439561,0.9214182044370725
94,0.1832865639274339,0.9103585657370518,0.4649111404418945,0.86,0.9554910498306726,0.9793577022792074,0.8763250883392226,0.779874213836478,1.0,0.889937106918239
95,0.1931712713493294,0.9153386454183267,0.30743682289123536,0.904,0.953417651530859,0.9786225473312096,0.9194630872483222,0.8616352201257862,0.978021978021978,0.9198285990738821
96,0.20264144013246216,0.8924302788844621,0.3700864601135254,0.844,0.957426221577165,0.9799774888293407,0.8602150537634409,0.7547169811320755,1.0,0.8773584905660378
97,0.2050217525417586,0.9063745019920318,0.37361329650878905,0.812,0.960536319026885,0.9811374491226306,0.8683473389355743,0.9748427672955975,0.5274725274725275,0.7511576473840624
