epoch,train_loss,train_acc,val_loss,val_acc,val_auroc,val_aupr,val_f1,val_precision,val_recall,val_specificity,val_bal_acc,val_mcc,val_brier
1,0.5304255871998699,0.5423940149625935,0.5812665215179101,0.6368159203980099,0.8758234519104083,0.9370922104338726,0.6294416243654822,0.9538461538461539,0.4696969696969697,0.9565217391304348,0.7131093544137023,0.4326312511943086,0.20084864933289207
2,0.4893943439249386,0.6446384039900249,0.42058771744889406,0.7412935323383084,0.9028326745718052,0.9535664311430705,0.8266666666666667,0.7380952380952381,0.9393939393939394,0.36231884057971014,0.6508563899868248,0.38671730509016905,0.1415195718384428
3,0.45121678669107823,0.6645885286783042,0.3699184699141564,0.845771144278607,0.9223759332454985,0.9653880071459415,0.8724279835390947,0.954954954954955,0.803030303030303,0.927536231884058,0.8652832674571804,0.6975711991688918,0.11461438038770427
4,0.4096558413600684,0.6733167082294265,0.34780382516965347,0.8606965174129353,0.935002195871761,0.971544591483533,0.889763779527559,0.9262295081967213,0.8560606060606061,0.8695652173913043,0.8628129117259552,0.7053924060280325,0.10339982660128776
5,0.4052668432345117,0.6758104738154613,0.3850294102483721,0.7810945273631841,0.9134826526130875,0.9610444549952968,0.8450704225352113,0.7894736842105263,0.9090909090909091,0.5362318840579711,0.7226613965744401,0.49245505678186985,0.1311331336070062
6,0.41265062010496334,0.7019950124688279,0.30084329584048164,0.8706467661691543,0.9294027228809839,0.9699017262234702,0.8976377952755905,0.9344262295081968,0.8636363636363636,0.8840579710144928,0.8738471673254282,0.7268455568241642,0.09554707481946981
7,0.39818457802037643,0.6845386533665836,0.5944547565718789,0.6666666666666666,0.9247913921826966,0.9677466858213327,0.797583081570997,0.6633165829145728,1.0,0.028985507246376812,0.5144927536231884,0.13865989910825788,0.21202352215923143
8,0.3955377839747212,0.6907730673316709,0.28919249409763376,0.8706467661691543,0.9276460254721125,0.9696025767101271,0.8951612903225806,0.9568965517241379,0.8409090909090909,0.927536231884058,0.8842226613965745,0.7385604119998254,0.09099376556270347
9,0.3991685900976533,0.683291770573566,0.2993574768897906,0.845771144278607,0.923473869126043,0.9673210830090382,0.8803088803088803,0.8976377952755905,0.8636363636363636,0.8115942028985508,0.8376152832674573,0.6647309260942832,0.09822175941149955
10,0.3535026780090427,0.7057356608478803,0.5054496700935696,0.7412935323383084,0.9277558190601669,0.9694223348591626,0.8333333333333334,0.7222222222222222,0.9848484848484849,0.2753623188405797,0.6301054018445322,0.40391588676706713,0.17885791695822553
11,0.3589650723999575,0.7057356608478803,0.2915290241217732,0.845771144278607,0.9332454984628896,0.9714028735773235,0.8821292775665399,0.8854961832061069,0.8787878787878788,0.782608695652174,0.8306982872200264,0.6591568723606304,0.09626067810586675
12,0.3717392961171797,0.7206982543640897,0.2994129298189979,0.8507462686567164,0.9284145805884936,0.9696196611016363,0.8846153846153846,0.8984375,0.8712121212121212,0.8115942028985508,0.8414031620553359,0.6741284112852668,0.1013287582617107
13,0.3511235721019141,0.713216957605985,0.28011814642011823,0.8656716417910447,0.9347826086956522,0.9720403854486601,0.8949416342412452,0.92,0.8712121212121212,0.855072463768116,0.8631422924901186,0.7111423374916452,0.0913411611024681
14,0.34136914047517086,0.7057356608478803,0.38230184276602164,0.8059701492537313,0.9290733421168204,0.9696162836357378,0.8612099644128114,0.8120805369127517,0.9166666666666666,0.5942028985507246,0.7554347826086956,0.5538940954200662,0.12893446526299798
15,0.3093386768105619,0.7244389027431422,0.4014301590658539,0.8208955223880597,0.9279754062362758,0.9675009935378475,0.8461538461538461,0.9705882352941176,0.75,0.9565217391304348,0.8532608695652174,0.670995112949959,0.12621032764058884
16,0.36397919095959747,0.7007481296758105,0.3010276992670932,0.8557213930348259,0.931598594642073,0.9705965715874436,0.888030888030888,0.905511811023622,0.8712121212121212,0.8260869565217391,0.8486495388669302,0.6864562783129744,0.0957843173943478
17,0.3508309601548307,0.7369077306733167,0.2582762551989721,0.8855721393034826,0.950592885375494,0.9784187675631051,0.9090909090909091,0.9504132231404959,0.8712121212121212,0.9130434782608695,0.8921277997364954,0.7607316065295936,0.07897452673220971
18,0.3985059380977231,0.7182044887780549,0.32243431859941624,0.8208955223880597,0.9448836187966623,0.9759198266889654,0.8723404255319149,0.82,0.9318181818181818,0.6086956521739131,0.7702569169960474,0.5897766947240445,0.1065848088560295
19,0.333049264334681,0.7119700748129676,0.27923887071028275,0.8805970149253731,0.9374176548089591,0.9731813621743636,0.905511811023622,0.9426229508196722,0.8712121212121212,0.8985507246376812,0.8848814229249011,0.7482987076202959,0.08927616020801817
20,0.3352010299885957,0.7518703241895262,0.30020363310083226,0.8756218905472637,0.9578392621870884,0.9812392599867379,0.897119341563786,0.9819819819819819,0.8257575757575758,0.9710144927536232,0.8983860342555995,0.7607866234398328,0.090125834532548
21,0.2872531421463983,0.7144638403990025,0.2700068175199613,0.8855721393034826,0.9497145366710583,0.9781221246124505,0.9138576779026217,0.9037037037037037,0.9242424242424242,0.8115942028985508,0.8679183135704875,0.7439676654374687,0.08573441816424282
22,0.33602120729158647,0.7244389027431422,0.28835862852744204,0.845771144278607,0.9496047430830039,0.9778976645979707,0.8864468864468864,0.8581560283687943,0.9166666666666666,0.7101449275362319,0.8134057971014492,0.6503742686172891,0.0946672973565614
23,0.33259604546123017,0.7518703241895262,0.31938758003177925,0.8407960199004975,0.9462011418533157,0.9769306797459606,0.8848920863309353,0.8424657534246576,0.9318181818181818,0.6666666666666666,0.7992424242424242,0.637392425821416,0.10799390932663126
24,0.31649579014861373,0.7406483790523691,0.2500160065159869,0.9104477611940298,0.9434563021519543,0.9763907343640773,0.9291338582677166,0.9672131147540983,0.8939393939393939,0.9420289855072463,0.9179841897233201,0.8126581600086911,0.07645841504808314
25,0.3234190106986467,0.729426433915212,0.24150283456738317,0.9203980099502488,0.9565217391304347,0.9813017222490801,0.936,0.9915254237288136,0.8863636363636364,0.9855072463768116,0.935935441370224,0.8407824447767398,0.07173240408231643
26,0.2873538875223098,0.7169576059850374,0.32081706762610385,0.8756218905472637,0.957290294246816,0.9811660487546205,0.895397489539749,1.0,0.8106060606060606,1.0,0.9053030303030303,0.7713749687148059,0.09614081608210752
27,0.4432540515860417,0.6870324189526185,0.3164877552742982,0.8159203980099502,0.9318181818181819,0.9722781774085207,0.8654545454545455,0.8321678321678322,0.9015151515151515,0.6521739130434783,0.7768445322793149,0.5802236699603011,0.1107045449191254
28,0.324984971944828,0.7244389027431422,0.3501228480344981,0.8009950248756219,0.9474088713219148,0.9781742438928349,0.8611111111111112,0.7948717948717948,0.9393939393939394,0.5362318840579711,0.7378129117259553,0.5417618019273684,0.12418299919455325
