variant,test_acc_mean,test_acc_std,test_auroc_mean,test_auroc_std,test_aupr_mean,test_aupr_std,test_f1_mean,test_f1_std,test_precision_mean,test_precision_std,test_recall_mean,test_recall_std,test_specificity_mean,test_specificity_std,test_bal_acc_mean,test_bal_acc_std,test_mcc_mean,test_mcc_std,test_brier_mean,test_brier_std,test_loss_mean,test_loss_std
Baseline (no aug),0.898804780876494,0.024332161728450128,0.9730937279774489,0.005723971064800029,0.9876363920569723,0.0023959874434397546,0.9253681703579388,0.015317765008190367,0.906033319801382,0.04963083045825838,0.9478787878787879,0.022102524277346013,0.8046511627906977,0.11225598498741556,0.8762649753347427,0.045313502488338195,0.7748580045202051,0.05791232480885516,0.07649518116370066,0.020832750589005952,0.26005810095494486,0.08268014337564834
+WaveAug,0.8270916334661355,0.02839606323698083,0.9170824524312897,0.013234946234934722,0.951103437949382,0.008294789195834384,0.8577012005531952,0.03077163256615935,0.928308221211147,0.02797948317627039,0.8012121212121212,0.07214412673916594,0.8767441860465117,0.06185784222451343,0.8389781536293164,0.012558719868836698,0.6551490123836603,0.03166534254210536,0.12480364224736498,0.022339115446142126,0.41877355706169317,0.07818496117421506
+SpecAug,0.8876494023904382,0.021343578065304958,0.9659619450317125,0.004384308852739574,0.9844621152708386,0.0018656520763563117,0.9135588386596497,0.014971348000842299,0.9307538529983963,0.06197058559680732,0.903030303030303,0.0599969390097677,0.8581395348837209,0.13866004823966363,0.8805849189570119,0.04450106484424402,0.7623236315846418,0.051662975435694924,0.0803955815341381,0.017450200080281808,0.2603764565579919,0.07739632574854208
+Mixup,0.9003984063745019,0.03461782310155927,0.9756448202959831,0.0004948129579011239,0.9889534290405436,0.0001685808147575115,0.9221987325678542,0.028059279307249028,0.9513116197579594,0.06488147711514987,0.9018181818181817,0.07252497115952287,0.8976744186046511,0.14509279774245643,0.8997463002114164,0.051401143162254456,0.7954687067973172,0.06863800720182422,0.07420067748016905,0.0279563966643791,0.2445611937350011,0.09143736081160474
+Wave+Spec+Mix,0.8302788844621514,0.016571023380944544,0.9130514446793516,0.004257125345880079,0.9477880206083947,0.002334128752063641,0.8659146058110505,0.019042836928703007,0.8986894541330053,0.02958490383623931,0.8387878787878789,0.058540560683846034,0.813953488372093,0.0692812516733313,0.8263706835799859,0.009607846388021623,0.6412923856760242,0.02049429786557923,0.11786389373834469,0.010075027386760797,0.3821594201236132,0.04552851217768122
